Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1941,0.18,0.47,0.11,0.12,0.23,0.21,0.24,0.19,0.1,0.5,0.18,0.19,0.23,0.24,0.34,0.16,0.21,0.26
1942,0.41,-0.08,-0.01,0.09,0.16,0.1,-0.01,-0.08,0.11,0.28,0.26,0.27,0.13,0.12,0.17,0.08,0.01,0.22
1943,-0.1,0.37,-0.01,0.3,0.23,-0.07,-0.02,0.1,0.14,0.46,0.36,0.37,0.18,0.17,0.18,0.17,0,0.32
1944,0.62,0.43,0.31,0.18,0.23,0.17,0.14,0.16,0.35,0.44,0.19,-0.02,0.27,0.3,0.47,0.24,0.16,0.33
1945,0.1,-0.07,0.08,0.28,0.07,0.07,0.06,0.28,0.2,0.24,0.08,-0.21,0.1,0.12,0.01,0.15,0.14,0.17
1946,0.34,0.09,0.12,0.31,0.03,-0.06,-0.04,-0.1,-0.04,0.02,0.07,-0.46,0.02,0.04,0.07,0.15,-0.07,0.02
1947,-0.05,-0.04,0.28,0.22,0.06,0,-0.04,-0.05,-0.02,0.4,0.19,-0.05,0.08,0.04,-0.18,0.19,-0.03,0.19
1948,0.31,-0.15,-0.28,-0.03,0.17,0.04,0.01,0.02,-0.03,0.08,0.03,-0.4,-0.02,0.01,0.04,-0.05,0.02,0.03
1949,0.22,-0.1,0.04,-0.03,0,-0.2,-0.12,-0.05,-0.1,0.07,0.05,-0.14,-0.03,-0.05,-0.09,0,-0.12,0
1950,-0.29,-0.27,0.05,-0.22,-0.05,-0.07,-0.19,-0.2,-0.09,-0.06,-0.33,-0.13,-0.15,-0.16,-0.24,-0.07,-0.15,-0.16
1951,-0.36,-0.52,-0.18,0.07,0.17,-0.02,0.08,0.22,0.33,0.29,0.08,0.38,0.04,0,-0.33,0.02,0.09,0.23
1952,0.17,0.17,-0.22,0.17,0.15,0.15,0.13,0.07,0.14,-0.01,-0.21,0.01,0.06,0.09,0.24,0.03,0.12,-0.03
1953,0.24,0.37,0.25,0.41,0.24,0.25,0.21,0.18,0.17,0.27,0.08,0.22,0.24,0.22,0.21,0.3,0.21,0.17
1954,-0.24,0,-0.17,-0.01,-0.07,-0.04,-0.11,-0.01,0.09,0.13,0.34,-0.11,-0.02,0.01,-0.01,-0.08,-0.05,0.19
1955,0.42,-0.12,-0.43,-0.24,-0.13,-0.1,-0.05,0.06,-0.02,0.12,-0.34,-0.28,-0.09,-0.08,0.06,-0.27,-0.03,-0.08
1956,-0.04,-0.32,-0.23,-0.26,-0.3,-0.2,-0.2,-0.28,-0.32,-0.28,-0.25,-0.1,-0.23,-0.25,-0.22,-0.26,-0.23,-0.29
1957,-0.14,-0.05,-0.1,-0.09,-0.06,0.12,0.11,0.16,0.12,0.06,0.12,0.24,0.04,0.01,-0.1,-0.08,0.13,0.1
1958,0.68,0.28,0.16,0.02,0.12,0.05,0.05,0.13,0.07,0.08,0.03,0.18,0.15,0.16,0.4,0.1,0.07,0.06
1959,0.24,0.16,0.33,0.22,0.04,0.14,0.05,0.09,0.13,-0.04,0.02,0.09,0.12,0.13,0.19,0.19,0.1,0.04
1960,0.15,0.42,-0.4,-0.13,0.03,0.19,0.09,0.11,0.12,0.05,-0.08,0.39,0.08,0.05,0.22,-0.16,0.13,0.03
1961,0.17,0.29,0.22,0.14,0.07,0.18,0.06,0.05,-0.03,-0.04,0.07,-0.17,0.09,0.13,0.29,0.14,0.09,0
1962,0.28,0.36,0.3,0.22,0.02,-0.13,0.1,0.04,-0.02,0.13,0.12,0.1,0.13,0.1,0.16,0.18,0,0.08
1963,0.07,0.49,-0.12,0.04,-0.04,-0.04,0.1,0.14,0.13,0.42,0.43,0.02,0.14,0.14,0.22,-0.04,0.07,0.33
1964,-0.05,-0.03,-0.32,-0.3,-0.1,-0.09,-0.13,-0.24,-0.28,-0.32,-0.22,-0.27,-0.19,-0.17,-0.02,-0.24,-0.15,-0.27
1965,-0.02,-0.37,-0.1,-0.26,-0.14,-0.2,-0.18,-0.2,-0.2,-0.02,0.04,-0.08,-0.14,-0.16,-0.22,-0.16,-0.2,-0.06
1966,-0.25,0.03,0,-0.22,-0.05,0.06,0.11,0.14,0.06,-0.1,0.02,-0.03,-0.02,-0.02,-0.1,-0.09,0.1,-0.01
1967,-0.18,-0.37,0.23,0.05,0.21,-0.06,0.04,0.06,-0.03,0.29,0.04,0.02,0.03,0.02,-0.19,0.16,0.02,0.1
1968,-0.29,-0.16,0.44,0,-0.06,-0.04,-0.08,-0.08,-0.05,-0.01,-0.22,-0.33,-0.07,-0.04,-0.14,0.13,-0.07,-0.09
1969,-0.43,-0.46,-0.2,0.03,0.11,-0.04,0.06,0.05,0.04,0.03,0.15,0.3,-0.03,-0.08,-0.41,-0.02,0.02,0.07
