Year,Period,Mean_Temp
2002,JUL THRU SEP,61
2003,JUL THRU SEP,77
2004,JUL THRU SEP,55
2005,JUL THRU SEP,78
2006,JUL THRU SEP,73
2007,JUL THRU SEP,69
2008,JUL THRU SEP,59
2009,JUL THRU SEP,75
2010,JUL THRU SEP,82
2011,JUL THRU SEP,73
2012,JUL THRU SEP,82
2013,JUL THRU SEP,71
2014,JUL THRU SEP,83
2015,JUL THRU SEP,103
2016,JUL THRU SEP,112
2017,JUL THRU SEP,99
2018,JUL THRU SEP,91
2019,JUL THRU SEP,111
1880,OCT THRU DEC,-36
1881,OCT THRU DEC,-38
1882,OCT THRU DEC,-41
1883,OCT THRU DEC,-30
1884,OCT THRU DEC,-49
1885,OCT THRU DEC,-34
1886,OCT THRU DEC,-32
1887,OCT THRU DEC,-35
1888,OCT THRU DEC,2
1889,OCT THRU DEC,-50
1890,OCT THRU DEC,-35
1891,OCT THRU DEC,-38
1892,OCT THRU DEC,-53
1893,OCT THRU DEC,-30
1894,OCT THRU DEC,-36
1895,OCT THRU DEC,-8
1896,OCT THRU DEC,-5
1897,OCT THRU DEC,-18
1898,OCT THRU DEC,-41
1899,OCT THRU DEC,22
1900,OCT THRU DEC,8
1901,OCT THRU DEC,-24
1902,OCT THRU DEC,-37
1903,OCT THRU DEC,-44
1904,OCT THRU DEC,-22
1905,OCT THRU DEC,-8
1906,OCT THRU DEC,-28
1907,OCT THRU DEC,-36
1908,OCT THRU DEC,-54
1909,OCT THRU DEC,-22
1910,OCT THRU DEC,-44
1911,OCT THRU DEC,-19
1912,OCT THRU DEC,-68
1913,OCT THRU DEC,-26
1914,OCT THRU DEC,-10
1915,OCT THRU DEC,-15
1916,OCT THRU DEC,-41
1917,OCT THRU DEC,-46
1918,OCT THRU DEC,-13
1919,OCT THRU DEC,-27
1920,OCT THRU DEC,-43
1921,OCT THRU DEC,-4
1922,OCT THRU DEC,-22
1923,OCT THRU DEC,12
1924,OCT THRU DEC,-7
1925,OCT THRU DEC,7
1926,OCT THRU DEC,12
1927,OCT THRU DEC,18
1928,OCT THRU DEC,-1
1929,OCT THRU DEC,-2
1930,OCT THRU DEC,24
1931,OCT THRU DEC,31
1932,OCT THRU DEC,-8
1933,OCT THRU DEC,-20
1934,OCT THRU DEC,20
1935,OCT THRU DEC,-10
1936,OCT THRU DEC,11
1937,OCT THRU DEC,29
1938,OCT THRU DEC,31
1939,OCT THRU DEC,16
1940,OCT THRU DEC,30
1941,OCT THRU DEC,34
1942,OCT THRU DEC,27
1943,OCT THRU DEC,41
1944,OCT THRU DEC,32
1945,OCT THRU DEC,16
1946,OCT THRU DEC,5
1947,OCT THRU DEC,30
1948,OCT THRU DEC,6
1949,OCT THRU DEC,6
1950,OCT THRU DEC,-20
1951,OCT THRU DEC,18
1952,OCT THRU DEC,-11
1953,OCT THRU DEC,18
1954,OCT THRU DEC,24
1955,OCT THRU DEC,-11
1956,OCT THRU DEC,-26
1957,OCT THRU DEC,9
1958,OCT THRU DEC,6
1959,OCT THRU DEC,-1
1960,OCT THRU DEC,-2
1961,OCT THRU DEC,2
1962,OCT THRU DEC,12
1963,OCT THRU DEC,42
1964,OCT THRU DEC,-27
1965,OCT THRU DEC,1
1966,OCT THRU DEC,-4
1967,OCT THRU DEC,16
1968,OCT THRU DEC,-12
1969,OCT THRU DEC,9
1970,OCT THRU DEC,-10
1971,OCT THRU DEC,-9
1972,OCT THRU DEC,-12
1973,OCT THRU DEC,-8
1974,OCT THRU DEC,-22
1975,OCT THRU DEC,-24
1976,OCT THRU DEC,-41
1977,OCT THRU DEC,12
1978,OCT THRU DEC,8
1979,OCT THRU DEC,24
1980,OCT THRU DEC,16
1981,OCT THRU DEC,29
1982,OCT THRU DEC,-6
1983,OCT THRU DEC,30
1984,OCT THRU DEC,-1
1985,OCT THRU DEC,2
1986,OCT THRU DEC,6
1987,OCT THRU DEC,16
1988,OCT THRU DEC,15
1989,OCT THRU DEC,18
1990,OCT THRU DEC,47
1991,OCT THRU DEC,31
1992,OCT THRU DEC,-14
1993,OCT THRU DEC,-4
1994,OCT THRU DEC,52
1995,OCT THRU DEC,58
1996,OCT THRU DEC,20
1997,OCT THRU DEC,61
1998,OCT THRU DEC,52
1999,OCT THRU DEC,46
2000,OCT THRU DEC,24
2001,OCT THRU DEC,79
2002,OCT THRU DEC,66
2003,OCT THRU DEC,82
2004,OCT THRU DEC,84
2005,OCT THRU DEC,100
2006,OCT THRU DEC,96
2007,OCT THRU DEC,83
2008,OCT THRU DEC,92
2009,OCT THRU DEC,82
2010,OCT THRU DEC,105
2011,OCT THRU DEC,78
2012,OCT THRU DEC,94
2013,OCT THRU DEC,98
2014,OCT THRU DEC,86
2015,OCT THRU DEC,133
2016,OCT THRU DEC,107
2017,OCT THRU DEC,114
2018,OCT THRU DEC,110
2019,OCT THRU DEC,127
