,Year,Period,Mean Land-Ocean Temp (Celsius)
248,1988,APR THRU JUN,42.0
249,1989,APR THRU JUN,26.0
250,1990,APR THRU JUN,56.0
251,1991,APR THRU JUN,45.0
252,1992,APR THRU JUN,12.0
253,1993,APR THRU JUN,26.0
254,1994,APR THRU JUN,43.0
255,1995,APR THRU JUN,54.0
256,1996,APR THRU JUN,26.0
257,1997,APR THRU JUN,47.0
258,1998,APR THRU JUN,75.0
259,1999,APR THRU JUN,42.0
260,2000,APR THRU JUN,62.0
261,2001,APR THRU JUN,60.0
262,2002,APR THRU JUN,57.0
263,2003,APR THRU JUN,62.0
264,2004,APR THRU JUN,56.0
265,2005,APR THRU JUN,83.0
266,2006,APR THRU JUN,72.0
267,2007,APR THRU JUN,81.0
268,2008,APR THRU JUN,62.0
269,2009,APR THRU JUN,68.0
270,2010,APR THRU JUN,97.0
271,2011,APR THRU JUN,76.0
272,2012,APR THRU JUN,99.0
273,2013,APR THRU JUN,74.0
274,2014,APR THRU JUN,93.0
275,2015,APR THRU JUN,104.0
276,2016,APR THRU JUN,124.0
277,2017,APR THRU JUN,102.0
278,2018,APR THRU JUN,95.0
279,2019,APR THRU JUN,115.0
280,1880,JUL THRU SEP,-21.0
281,1881,JUL THRU SEP,-6.0
282,1882,JUL THRU SEP,-21.0
283,1883,JUL THRU SEP,-19.0
284,1884,JUL THRU SEP,-46.0
285,1885,JUL THRU SEP,-35.0
286,1886,JUL THRU SEP,-27.0
287,1887,JUL THRU SEP,-30.0
288,1888,JUL THRU SEP,-11.0
289,1889,JUL THRU SEP,-17.0
290,1890,JUL THRU SEP,-30.0
291,1891,JUL THRU SEP,-9.0
292,1892,JUL THRU SEP,-28.0
293,1893,JUL THRU SEP,-24.0
294,1894,JUL THRU SEP,-25.0
295,1895,JUL THRU SEP,-15.0
296,1896,JUL THRU SEP,-6.0
297,1897,JUL THRU SEP,-1.0
298,1898,JUL THRU SEP,-12.0
299,1899,JUL THRU SEP,-7.0
300,1900,JUL THRU SEP,-5.0
301,1901,JUL THRU SEP,-12.0
302,1902,JUL THRU SEP,-31.0
303,1903,JUL THRU SEP,-48.0
304,1904,JUL THRU SEP,-57.0
305,1905,JUL THRU SEP,-20.0
306,1906,JUL THRU SEP,-21.0
307,1907,JUL THRU SEP,-38.0
308,1908,JUL THRU SEP,-41.0
309,1909,JUL THRU SEP,-38.0
310,1910,JUL THRU SEP,-40.0
311,1911,JUL THRU SEP,-39.0
312,1912,JUL THRU SEP,-70.0
313,1913,JUL THRU SEP,-46.0
314,1914,JUL THRU SEP,-30.0
315,1915,JUL THRU SEP,-15.0
316,1916,JUL THRU SEP,-40.0
317,1917,JUL THRU SEP,-34.0
318,1918,JUL THRU SEP,-32.0
319,1919,JUL THRU SEP,-27.0
320,1920,JUL THRU SEP,-31.0
321,1921,JUL THRU SEP,-16.0
322,1922,JUL THRU SEP,-36.0
323,1923,JUL THRU SEP,-24.0
324,1924,JUL THRU SEP,-23.0
325,1925,JUL THRU SEP,-16.0
326,1926,JUL THRU SEP,-9.0
327,1927,JUL THRU SEP,-7.0
328,1928,JUL THRU SEP,-15.0
329,1929,JUL THRU SEP,-25.0
330,1930,JUL THRU SEP,-1.0
331,1931,JUL THRU SEP,11.0
332,1932,JUL THRU SEP,-3.0
333,1933,JUL THRU SEP,-18.0
334,1934,JUL THRU SEP,-9.0
335,1935,JUL THRU SEP,-5.0
336,1936,JUL THRU SEP,6.0
337,1937,JUL THRU SEP,20.0
338,1938,JUL THRU SEP,7.0
339,1939,JUL THRU SEP,8.0
340,1940,JUL THRU SEP,16.0
341,1941,JUL THRU SEP,18.0
342,1942,JUL THRU SEP,1.0
343,1943,JUL THRU SEP,7.0
344,1944,JUL THRU SEP,22.0
345,1945,JUL THRU SEP,18.0
346,1946,JUL THRU SEP,-6.0
347,1947,JUL THRU SEP,-4.0
348,1948,JUL THRU SEP,0.0
349,1949,JUL THRU SEP,-9.0
350,1950,JUL THRU SEP,-16.0
351,1951,JUL THRU SEP,21.0
352,1952,JUL THRU SEP,11.0
353,1953,JUL THRU SEP,19.0
354,1954,JUL THRU SEP,-1.0
355,1955,JUL THRU SEP,-0.0
356,1956,JUL THRU SEP,-27.0
357,1957,JUL THRU SEP,13.0
358,1958,JUL THRU SEP,8.0
359,1959,JUL THRU SEP,9.0
360,1960,JUL THRU SEP,11.0
361,1961,JUL THRU SEP,3.0
362,1962,JUL THRU SEP,4.0
363,1963,JUL THRU SEP,12.0
364,1964,JUL THRU SEP,-22.0
365,1965,JUL THRU SEP,-19.0
366,1966,JUL THRU SEP,10.0
367,1967,JUL THRU SEP,2.0
368,1968,JUL THRU SEP,-7.0
369,1969,JUL THRU SEP,5.0
370,1970,JUL THRU SEP,-5.0
371,1971,JUL THRU SEP,-14.0
372,1972,JUL THRU SEP,-13.0
373,1973,JUL THRU SEP,-0.0
374,1974,JUL THRU SEP,-13.0
375,1975,JUL THRU SEP,-9.0
376,1976,JUL THRU SEP,-20.0
